candidate_id,file_name,public_path,visual_family,candidate_scope,source_owner,usage_rights_status,exact_match_status,review_status,priority,evidence_reference,reviewed_by,reviewed_date,notes_internal
local-img-001,12.jpg,/images/products/12.jpg,Welding Accessories,product_family_reference,,needs_confirmation,unverified,needs_review,P2,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed."
local-img-002,P809.jpg,/images/products/P809.jpg,Plasma,product_family_reference,,needs_confirmation,unverified,needs_review,P1,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed."
local-img-003,QQ截图20211203091759.jpg,/images/products/QQ截图20211203091759.jpg,Welding Accessories,product_family_reference,,needs_confirmation,unverified,needs_review,P2,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed."
local-img-004,VCG41N503257917.jpg,/images/products/VCG41N503257917.jpg,Welding Equipment,product_family_reference,,needs_confirmation,unverified,needs_review,P2,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed."
local-img-005,mig-contact-tip.jpg,/images/products/mig-contact-tip.jpg,MIG/MAG,product_family_reference,,needs_confirmation,unverified,needs_review,P0,"Local lineage audit (2026-08-29): the repository file is byte-identical to a 750 x 750 PNG named 15AK导电嘴.png (SHA-256 717F02E9C5D58BB8600685F3A8C16ADB99AD9E8F831817BDCAA60F87DD8ECED0; file modified 2021-12-07). Local-file and repository lineage only.",Codex local lineage audit,2026-08-29,"Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed. Priority 15AK-family candidate; compare with a labeled sample or controlled drawing. The local source filename and older copy do not prove exact-SKU identity, compatibility, ownership or usage rights."
local-img-006,mig-gas-nozzle.jpg,/images/products/mig-gas-nozzle.jpg,MIG/MAG,product_family_reference,,needs_confirmation,unverified,needs_review,P0,Git blob 756d8bd608a3fed0cd83d0cf51f71bcecfebe674 is byte-identical to the current AF-MIG-GN-0008 main image. Repository lineage only.,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed. Priority 15AK-family candidate; compare with a labeled sample or controlled drawing. Repository copy lineage does not prove exact-SKU identity, compatibility, ownership or usage rights."
local-img-007,mig-gas-nozzle（1）.jpg,/images/products/mig-gas-nozzle（1）.jpg,MIG/MAG,product_family_reference,,needs_confirmation,unverified,needs_review,P0,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed. Priority 15AK-family candidate; compare with a labeled sample or controlled drawing."
local-img-008,mig-tip-holder-for-mb15.jpg,/images/products/mig-tip-holder-for-mb15.jpg,MIG/MAG,product_family_reference,,needs_confirmation,unverified,needs_review,P0,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed. Priority 15AK-family candidate; compare with a labeled sample or controlled drawing."
local-img-009,mig-torch-liner.jpg,/images/products/mig-torch-liner.jpg,MIG/MAG,product_family_reference,,needs_confirmation,unverified,needs_review,P1,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed."
local-img-010,plasma-swirl-ring.jpg,/images/products/plasma-swirl-ring.jpg,Plasma,product_family_reference,,needs_confirmation,unverified,needs_review,P1,,,,"Filename and visual-family review only. Do not publish or assign to an exact SKU before source owner, website-use rights and product identity are reviewed."
