asset_id,sku,product,category,role,public_path,priority,task_type,product_status,publication_status,source_kind,source_reference,source_owner,usage_rights_status,content_match_status,dimensions,required_actions,capture_guidance,approval_requirements
img-af-mig-ct-0004-main-01,AF-MIG-CT-0004,MIG Contact Tip M6 0.8mm,MIG/MAG Torch Parts,main,/images/products/mig-contact-tip-m6-0-8mm.jpg,P0,provenance_review,active,legacy_reference,unknown,Current public asset. Original source owner and source file require confirmation.,,needs_confirmation,product_family_reference,750 x 750,"Identify the original source and owner or replace the asset; Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Record the original source file; Record the reviewer and ISO review date after evidence review; Replace the low-resolution 750 x 750 source with a sharper exact-product view; Re-export or rename the asset so the .jpg extension matches its PNG content","Show the complete product, side profile and opening or thread detail for the same physical SKU.","Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-ct-0005-main-01,AF-MIG-CT-0005,MIG Contact Tip M6 1.0mm,MIG/MAG Torch Parts,main,/images/products/mig-contact-tip-m6-1-0mm.jpg,P0,provenance_review,active,legacy_reference,unknown,Current public asset. Original source owner and source file require confirmation.,,needs_confirmation,product_family_reference,750 x 750,"Identify the original source and owner or replace the asset; Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Record the original source file; Record the reviewer and ISO review date after evidence review; Replace the low-resolution 750 x 750 source with a sharper exact-product view; Re-export or rename the asset so the .jpg extension matches its PNG content","Show the complete product, side profile and opening or thread detail for the same physical SKU.","Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-ct-0006-main-01,AF-MIG-CT-0006,MIG Contact Tip M6 1.2mm,MIG/MAG Torch Parts,main,/images/products/mig-contact-tip-m6-1-2mm.jpg,P0,provenance_review,active,legacy_reference,unknown,Current public asset. Original source owner and source file require confirmation.,,needs_confirmation,product_family_reference,750 x 750,"Identify the original source and owner or replace the asset; Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Record the original source file; Record the reviewer and ISO review date after evidence review; Replace the low-resolution 750 x 750 source with a sharper exact-product view; Re-export or rename the asset so the .jpg extension matches its PNG content","Show the complete product, side profile and opening or thread detail for the same physical SKU.","Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-gn-0008-main-01,AF-MIG-GN-0008,MIG Gas Nozzle for MB15,MIG/MAG Torch Parts,main,/images/products/mig-gas-nozzle-for-mb15.jpg,P0,provenance_review,active,legacy_reference,unknown,Current public asset. Original source owner and source file require confirmation.,,needs_confirmation,product_family_reference,800 x 800,"Identify the original source and owner or replace the asset; Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Record the original source file; Record the reviewer and ISO review date after evidence review; Replace the low-resolution 800 x 800 source with a sharper exact-product view","Show the complete product, side profile and opening or thread detail for the same physical SKU.","Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-df-0003-main-01,AF-MIG-DF-0003,MIG Diffuser,MIG/MAG Torch Parts,main,/images/products/mig-diffuser.jpg,P1,exact_product_replacement,active,legacy_reference,local_supplier_archive,Local supplier image archive visual match. Exact variant and public usage rights require confirmation.,,needs_confirmation,product_family_reference,800 x 800,"Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Replace the low-resolution 800 x 800 source with a sharper exact-product view",Show the exact product on a clean neutral background with complete geometry visible and in focus.,"Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-ms-0032-main-01,AF-MIG-MS-0032,MIG Torch Switch,MIG/MAG Torch Parts,main,/images/products/mig-torch-switch.jpg,P1,exact_product_replacement,active,legacy_reference,company_catalog_crop,Renqiu Ailesen welding catalog PDF page 19. Image is retained as a product-family reference.,,needs_confirmation,product_family_reference,1200 x 900,"Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Replace the low-resolution 1200 x 900 source with a sharper exact-product view",Show the exact product on a clean neutral background with complete geometry visible and in focus.,"Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-mt-0031-main-01,AF-MIG-MT-0031,MIG/MAG Welding Torch,MIG/MAG Torch Parts,main,/images/products/mig-mag-welding-torch.jpg,P1,exact_product_replacement,active,legacy_reference,local_supplier_archive,Local supplier image archive visual match. Exact variant and public usage rights require confirmation.,,needs_confirmation,product_family_reference,1200 x 900,"Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Replace the low-resolution 1200 x 900 source with a sharper exact-product view",Show the exact product on a clean neutral background with complete geometry visible and in focus.,"Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-sn-0010-main-01,AF-MIG-SN-0010,MIG Swan Neck,MIG/MAG Torch Parts,main,/images/products/mig-swan-neck.jpg,P1,exact_product_replacement,active,legacy_reference,local_supplier_archive,Local supplier image archive visual match. Exact variant and public usage rights require confirmation.,,needs_confirmation,product_family_reference,800 x 800,"Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing; Replace the low-resolution 800 x 800 source with a sharper exact-product view",Show the exact product on a clean neutral background with complete geometry visible and in focus.,"Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-th-0007-main-01,AF-MIG-TH-0007,MIG Tip Holder for MB15,MIG/MAG Torch Parts,main,/images/products/mig-tip-holder-for-mb15-catalog.jpg,P1,exact_product_replacement,active,legacy_reference,company_catalog_crop,Renqiu Ailesen welding catalog PDF page 8 (catalog page 10). Image is retained as a product-family reference.,,needs_confirmation,product_family_reference,1200 x 1200,"Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing",Show the complete product at a three-quarter angle plus the genuine contact or connection area.,"Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
img-af-mig-tl-0009-main-01,AF-MIG-TL-0009,MIG Torch Liner,MIG/MAG Torch Parts,main,/images/products/mig-torch-liner-catalog.jpg,P1,exact_product_replacement,active,legacy_reference,company_catalog_crop,Renqiu Ailesen welding catalog PDF page 45 (catalog pages 83-84). Image is retained as a product-family reference.,,needs_confirmation,product_family_reference,1200 x 1200,"Record the permitted website-usage basis; Match the image to the exact physical SKU using a label, sample or drawing",Show the complete product arrangement plus clear end or connector details.,"Record source owner, original file, usage basis, exact-SKU evidence, reviewer and ISO review date. Do not alter threads, holes, dimensions, connections or product shape."
