asset_id,sku,product_slug,role,public_path,alt_text,source_kind,source_reference,source_file,source_owner,ownership_status,usage_rights_status,content_match_status,publication_status,reviewed_by,reviewed_date,notes_internal
img-af-mig-ct-0004-main-01,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,main,/images/products/mig-contact-tip-m6-0-8mm.jpg,"MIG Contact Tip M6 0.8mm, MIG/MAG Torch Parts product reference image",unknown,"Local lineage audit (2026-08-29): the pre-re-export repository image is byte-identical to a 750 x 750 PNG named 15AK导电嘴.png (SHA-256 717F02E9C5D58BB8600685F3A8C16ADB99AD9E8F831817BDCAA60F87DD8ECED0; file modified 2021-12-07). This establishes a local source filename and older file copy only. Original owner, first source, website-use rights and exact 0.8/1.0/1.2 mm identity remain unknown.",15AK导电嘴.png,,unknown,needs_confirmation,product_family_reference,legacy_reference,Codex local lineage audit,2026-08-29,"Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status. Local-file and repository lineage do not prove exact-SKU identity, compatibility, ownership or usage rights."
img-af-mig-ct-0005-main-01,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,main,/images/products/mig-contact-tip-m6-1-0mm.jpg,"MIG Contact Tip M6 1.0mm, MIG/MAG Torch Parts product reference image",unknown,"Local lineage audit (2026-08-29): the pre-re-export repository image is byte-identical to a 750 x 750 PNG named 15AK导电嘴.png (SHA-256 717F02E9C5D58BB8600685F3A8C16ADB99AD9E8F831817BDCAA60F87DD8ECED0; file modified 2021-12-07). This establishes a local source filename and older file copy only. Original owner, first source, website-use rights and exact 0.8/1.0/1.2 mm identity remain unknown.",15AK导电嘴.png,,unknown,needs_confirmation,product_family_reference,legacy_reference,Codex local lineage audit,2026-08-29,"Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status. Local-file and repository lineage do not prove exact-SKU identity, compatibility, ownership or usage rights."
img-af-mig-ct-0006-main-01,AF-MIG-CT-0006,mig-contact-tip-m6-1-2mm,main,/images/products/mig-contact-tip-m6-1-2mm.jpg,"MIG Contact Tip M6 1.2mm, MIG/MAG Torch Parts product reference image",unknown,"Local lineage audit (2026-08-29): the pre-re-export repository image is byte-identical to a 750 x 750 PNG named 15AK导电嘴.png (SHA-256 717F02E9C5D58BB8600685F3A8C16ADB99AD9E8F831817BDCAA60F87DD8ECED0; file modified 2021-12-07). This establishes a local source filename and older file copy only. Original owner, first source, website-use rights and exact 0.8/1.0/1.2 mm identity remain unknown.",15AK导电嘴.png,,unknown,needs_confirmation,product_family_reference,legacy_reference,Codex local lineage audit,2026-08-29,"Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status. Local-file and repository lineage do not prove exact-SKU identity, compatibility, ownership or usage rights."
img-af-mig-th-0007-main-01,AF-MIG-TH-0007,mig-tip-holder-for-mb15,main,/images/products/mig-tip-holder-for-mb15-catalog.jpg,"MIG Tip Holder for MB15, MIG/MAG Torch Parts product reference image",company_catalog_crop,Renqiu Ailesen welding catalog PDF page 8 (catalog page 10). Image is retained as a product-family reference.,renqiu-ailesen-welding-catalog.pdf,,company_document,needs_confirmation,product_family_reference,legacy_reference,Official company catalog review,2026-07-31,Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status.
img-af-mig-gn-0008-main-01,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,main,/images/products/mig-gas-nozzle-for-mb15.jpg,"MIG Gas Nozzle for MB15, MIG/MAG Torch Parts product reference image",unknown,"Repository lineage audit: the current public file is byte-identical to /images/products/mig-gas-nozzle.jpg (Git blob 756d8bd608a3fed0cd83d0cf51f71bcecfebe674). Original owner, first source and website-use rights remain unknown.",,,unknown,needs_confirmation,product_family_reference,legacy_reference,,,"Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status. Repository copy lineage does not prove exact-SKU identity, compatibility, ownership or usage rights."
img-af-mig-gn-0008-gallery-02,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,gallery,/images/products/mig-gas-nozzle-gallery-1.jpg,MIG Gas Nozzle for MB15 product reference view 1,unknown,Current public asset. Original source owner and source file require confirmation.,,,unknown,needs_confirmation,product_family_reference,legacy_reference,,,Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status.
img-af-mig-gn-0008-gallery-03,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,gallery,/images/products/mig-gas-nozzle-gallery-2.jpg,MIG Gas Nozzle for MB15 product reference view 2,unknown,Current public asset. Original source owner and source file require confirmation.,,,unknown,needs_confirmation,product_family_reference,legacy_reference,,,Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status.
img-af-mig-gn-0008-gallery-04,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,gallery,/images/products/mig-gas-nozzle-gallery-3.jpg,MIG Gas Nozzle for MB15 product reference view 3,unknown,Current public asset. Original source owner and source file require confirmation.,,,unknown,needs_confirmation,product_family_reference,legacy_reference,,,Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status.
img-af-mig-df-0003-main-01,AF-MIG-DF-0003,mig-diffuser,main,/images/products/mig-diffuser.jpg,"MIG Diffuser, MIG/MAG Torch Parts product reference image",local_supplier_archive,Local supplier image archive visual match. Exact variant and public usage rights require confirmation.,微信图片_202404111901304.jpg,,supplier_or_third_party,needs_confirmation,product_family_reference,legacy_reference,Internal image review,2026-07-26,Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status.
img-af-mig-tl-0009-main-01,AF-MIG-TL-0009,mig-torch-liner,main,/images/products/mig-torch-liner-catalog.jpg,"MIG Torch Liner, MIG/MAG Torch Parts product reference image",company_catalog_crop,Renqiu Ailesen welding catalog PDF page 45 (catalog pages 83-84). Image is retained as a product-family reference.,renqiu-ailesen-welding-catalog.pdf,,company_document,needs_confirmation,product_family_reference,legacy_reference,Official company catalog review,2026-07-31,Migration record for an existing public reference image. Confirm exact-product match and usage rights before upgrading publication status.
