candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
15ak-candidate-av-torch-2-5m,mig-series-15ak,av-complete-torch,ORK 15AK Air Valve Torch,assembly,av-torch-2-5m,ORK 15AK Air Valve Torch 2.5 m,ORK 15AK Air Valve Torch; catalog cable length 2.5 m,"Confirm the exact complete torch construction, front-end component order, machine-side connection, cable length and supplied rating from a factory record, controlled drawing or approved sample.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,ORK 15AK Air Valve Torch candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-torch-3m,mig-series-15ak,av-complete-torch,ORK 15AK Air Valve Torch,assembly,av-torch-3m,ORK 15AK Air Valve Torch 3 m,ORK 15AK Air Valve Torch; catalog cable length 3 m,"Confirm the exact complete torch construction, front-end component order, machine-side connection, cable length and supplied rating from a factory record, controlled drawing or approved sample.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,ORK 15AK Air Valve Torch candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-nozzle-cylindrical-16mm,mig-series-15ak,av-gas-nozzle,Gas Nozzle,1,av-nozzle-cylindrical-16mm,Air-Valve Arrangement Cylindrical Nozzle 16 mm,Cylindrical nozzle; catalog opening 16 mm; family diagram references 53 mm length and 18 mm outside diameter,"Confirm the exact nozzle profile, opening, outside diameter, overall length and attachment against the same supplied product and torch-front stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-nozzle-conical-12mm,mig-series-15ak,av-gas-nozzle,Gas Nozzle,1,av-nozzle-conical-12mm,Air-Valve Arrangement Conical Nozzle 12 mm,Conical nozzle; catalog opening 12 mm; family diagram references 53 mm length and 18 mm outside diameter,"Confirm the exact nozzle profile, opening, outside diameter, overall length and attachment against the same supplied product and torch-front stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-nozzle-tapered-9-5mm,mig-series-15ak,av-gas-nozzle,Gas Nozzle,1,av-nozzle-tapered-9-5mm,Air-Valve Arrangement Tapered Nozzle 9.5 mm,Tapered nozzle; catalog opening 9.5 mm; family diagram references 53 mm length and 18 mm outside diameter,"Confirm the exact nozzle profile, opening, outside diameter, overall length and attachment against the same supplied product and torch-front stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-ecu-0-6mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-ecu-0-6mm,Air-Valve Arrangement E-Cu Contact Tip 0.6 mm,E-Cu contact-tip catalog reference; wire size 0.6 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-ecu-0-8mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-ecu-0-8mm,Air-Valve Arrangement E-Cu Contact Tip 0.8 mm,E-Cu contact-tip catalog reference; wire size 0.8 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-ecu-0-9mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-ecu-0-9mm,Air-Valve Arrangement E-Cu Contact Tip 0.9 mm,E-Cu contact-tip catalog reference; wire size 0.9 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-ecu-1-0mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-ecu-1-0mm,Air-Valve Arrangement E-Cu Contact Tip 1.0 mm,E-Cu contact-tip catalog reference; wire size 1.0 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-cucrzr-0-6mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-cucrzr-0-6mm,Air-Valve Arrangement CuCrZr Contact Tip 0.6 mm,CuCrZr contact-tip catalog reference; wire size 0.6 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-cucrzr-0-8mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-cucrzr-0-8mm,Air-Valve Arrangement CuCrZr Contact Tip 0.8 mm,CuCrZr contact-tip catalog reference; wire size 0.8 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-cucrzr-1-0mm,mig-series-15ak,av-contact-tip,Contact Tip,2,av-tip-cucrzr-1-0mm,Air-Valve Arrangement CuCrZr Contact Tip 1.0 mm,CuCrZr contact-tip catalog reference; wire size 1.0 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-tip-holder,mig-series-15ak,av-contact-tip-holder,Contact Tip Holder,3,av-tip-holder,Air-Valve Arrangement Contact Tip Holder,"Contact tip holder; catalog drawing references 34 mm length, M6 tip side and M8 x 1 LH neck side","Confirm both threads, handedness, shoulders and overall length on the same approved holder sample.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-insulator,mig-series-15ak,av-insulator,Insulator,4,av-insulator,Insulator,Insulator; air-valve arrangement catalog component,"Confirm material, complete geometry and exact position in the air-valve front-end stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-swan-neck,mig-series-15ak,av-swan-neck,Swan Neck,5,av-swan-neck,Swan Neck,Swan Neck; air-valve arrangement catalog component,"Confirm both connections, bend geometry and exact air-valve torch arrangement.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-hex-nut-m8,mig-series-15ak,av-hex-nut-m8,Hexagon Nut,6,av-hex-nut-m8,Hexagon Nut M8,Hexagon Nut M8; air-valve arrangement catalog component,"Confirm thread, pitch, dimensions and mating air-valve component.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-air-valve,mig-series-15ak,av-air-valve,Air Valve,7,av-air-valve,Air Valve,Air Valve; air-valve arrangement catalog component,"Confirm valve construction, ports, actuation and exact handle connection.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-air-line,mig-series-15ak,av-air-line,Air Line,8,av-air-line,Air Line,Air Line; air-valve arrangement catalog component,"Confirm both end connections, routing, length and material on the exact assembly.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-switch-line,mig-series-15ak,av-switch-line,Switch Line,9,av-switch-line,Switch Line,Switch Line; air-valve arrangement catalog component,"Confirm terminals, routing, length and handle connection on the exact assembly.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-liner-2-5m,mig-series-15ak,av-torch-liner,Torch Liner,10,av-liner-2-5m,Air-Valve Arrangement Torch Liner 2.5 m,Torch liner; catalog length 2.5 m; catalog wire range 0.6-1.0 mm,"Confirm supplied length, liner construction, both end geometries and supported wire range on the exact liner.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-liner-3m,mig-series-15ak,av-torch-liner,Torch Liner,10,av-liner-3m,Air-Valve Arrangement Torch Liner 3 m,Torch liner; catalog length 3 m; catalog wire range 0.6-1.0 mm,"Confirm supplied length, liner construction, both end geometries and supported wire range on the exact liner.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-cable-2-5m,mig-series-15ak,av-cable-assembly,Cable Assembly,11,av-cable-2-5m,Air-Valve Arrangement Cable 2.5 m,Cable assembly; catalog length 2.5 m,"Confirm cable construction, conductor and line functions, both terminations and complete supplied length.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-av-cable-3m,mig-series-15ak,av-cable-assembly,Cable Assembly,11,av-cable-3m,Air-Valve Arrangement Cable 3 m,Cable assembly; catalog length 3 m,"Confirm cable construction, conductor and line functions, both terminations and complete supplied length.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Air-Valve Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-torch-2-5m,mig-series-15ak,std-complete-torch,ORK 15AK Complete Torch,assembly,std-torch-2-5m,ORK 15AK Complete Torch 2.5 m,ORK 15AK Complete Torch; catalog cable length 2.5 m,"Confirm the exact complete torch construction, front-end component order, machine-side connection, cable length and supplied rating from a factory record, controlled drawing or approved sample.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,ORK 15AK Complete Torch candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-torch-3m,mig-series-15ak,std-complete-torch,ORK 15AK Complete Torch,assembly,std-torch-3m,ORK 15AK Complete Torch 3 m,ORK 15AK Complete Torch; catalog cable length 3 m,"Confirm the exact complete torch construction, front-end component order, machine-side connection, cable length and supplied rating from a factory record, controlled drawing or approved sample.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,ORK 15AK Complete Torch candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-nozzle-cylindrical-16mm,mig-series-15ak,std-gas-nozzle,Gas Nozzle,1,std-nozzle-cylindrical-16mm,Standard Arrangement Cylindrical Nozzle 16 mm,Cylindrical nozzle; catalog opening 16 mm; family diagram references 53 mm length and 18 mm outside diameter,"Confirm the exact nozzle profile, opening, outside diameter, overall length and attachment against the same supplied product and torch-front stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-nozzle-conical-12mm,mig-series-15ak,std-gas-nozzle,Gas Nozzle,1,std-nozzle-conical-12mm,Standard Arrangement Conical Nozzle 12 mm,Conical nozzle; catalog opening 12 mm; family diagram references 53 mm length and 18 mm outside diameter,"Confirm the exact nozzle profile, opening, outside diameter, overall length and attachment against the same supplied product and torch-front stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-nozzle-tapered-9-5mm,mig-series-15ak,std-gas-nozzle,Gas Nozzle,1,std-nozzle-tapered-9-5mm,Standard Arrangement Tapered Nozzle 9.5 mm,Tapered nozzle; catalog opening 9.5 mm; family diagram references 53 mm length and 18 mm outside diameter,"Confirm the exact nozzle profile, opening, outside diameter, overall length and attachment against the same supplied product and torch-front stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-ecu-0-6mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-ecu-0-6mm,Standard Arrangement E-Cu Contact Tip 0.6 mm,E-Cu contact-tip catalog reference; wire size 0.6 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-ecu-0-8mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-ecu-0-8mm,Standard Arrangement E-Cu Contact Tip 0.8 mm,E-Cu contact-tip catalog reference; wire size 0.8 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-ecu-0-9mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-ecu-0-9mm,Standard Arrangement E-Cu Contact Tip 0.9 mm,E-Cu contact-tip catalog reference; wire size 0.9 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-ecu-1-0mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-ecu-1-0mm,Standard Arrangement E-Cu Contact Tip 1.0 mm,E-Cu contact-tip catalog reference; wire size 1.0 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-cucrzr-0-6mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-cucrzr-0-6mm,Standard Arrangement CuCrZr Contact Tip 0.6 mm,CuCrZr contact-tip catalog reference; wire size 0.6 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-cucrzr-0-8mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-cucrzr-0-8mm,Standard Arrangement CuCrZr Contact Tip 0.8 mm,CuCrZr contact-tip catalog reference; wire size 0.8 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-cucrzr-1-0mm,mig-series-15ak,std-contact-tip,Contact Tip,2,std-tip-cucrzr-1-0mm,Standard Arrangement CuCrZr Contact Tip 1.0 mm,CuCrZr contact-tip catalog reference; wire size 1.0 mm; family drawing references M6 thread and 25 mm length,"Confirm the exact material grade, wire bore, thread, overall length, marking and mating tip holder on one approved physical variant.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-holder-spring,mig-series-15ak,std-tip-holder-spring,Contact Tip Holder Spring,3,std-tip-holder-spring,Contact Tip Holder Spring,Contact Tip Holder Spring; standard arrangement catalog component,"Confirm spring geometry, attachment and exact position in the standard front-end stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-insulator,mig-series-15ak,std-insulator,Insulator,5,std-insulator,Insulator,Insulator; standard arrangement catalog component,"Confirm material, complete geometry and exact position in the standard front-end stack.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-swan-neck,mig-series-15ak,std-swan-neck,Swan Neck,6,std-swan-neck,Swan Neck,Swan Neck; standard arrangement catalog component,"Confirm both connections, bend geometry and exact standard torch arrangement.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-cable-support-spring,mig-series-15ak,std-cable-support-spring,Cable Support Spring,7,std-cable-support-spring,Cable Support Spring,Cable Support Spring; standard arrangement catalog component,"Confirm complete spring geometry, both attachment ends and rear-handle position.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-rear-handle,mig-series-15ak,std-rear-handle,Rear Handle,8,std-rear-handle,Rear Handle,Rear Handle; standard arrangement catalog component,"Confirm cable entry, connector-side interface and whether supplied alone or as an assembly.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-adaptor-nut,mig-series-15ak,std-adaptor-nut,Adaptor Nut,9,std-adaptor-nut,Adaptor Nut,Adaptor Nut; standard arrangement catalog component,"Confirm internal thread, external geometry, tool flats and mating rear-handle connection.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-euro-connector,mig-series-15ak,std-euro-connector,Euro Connector,10,std-euro-connector,Euro Connector,Euro Connector; standard arrangement catalog component,"Confirm pins, gas passage, liner entry, cable interfaces and machine-side fit from controlled evidence.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-tip-holder,mig-series-15ak,std-contact-tip-holder,Contact Tip Holder,4,std-tip-holder,Standard Arrangement Contact Tip Holder,"Contact tip holder; catalog drawing references 42 mm length, M6 tip side and M8 x 1 LH neck side","Confirm both threads, handedness, shoulders and overall length on the same approved holder sample.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-connector-nut-m10x1,mig-series-15ak,std-connector-nut,Connector Nut,11,std-connector-nut-m10x1,Connector Nut M10 x 1,Connector nut; catalog designation M10 x 1,"Confirm thread pitch, handedness, complete dimensions and mating connector on the exact supplied nut.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-liner-3-5m,mig-series-15ak,std-torch-liner,Torch Liner,12,std-liner-3-5m,Standard Arrangement Torch Liner 3.5 m,Torch liner; catalog length 3.5 m; catalog wire range 0.8-1.0 mm,"Confirm supplied length, liner construction, both end geometries and supported wire range on the exact liner.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
15ak-candidate-std-liner-5-5m,mig-series-15ak,std-torch-liner,Torch Liner,12,std-liner-5-5m,Standard Arrangement Torch Liner 5.5 m,Torch liner; catalog length 5.5 m; catalog wire range 0.8-1.2 mm,"Confirm supplied length, liner construction, both end geometries and supported wire range on the exact liner.",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Standard Arrangement candidate. Keep separate from similarly named parts in the other documented 15AK arrangement until exact-product evidence proves a shared part.
