request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
25ak-img-complete-torch-3m-main,mig-series-25ak,25ak-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 25AK Complete Torch 3M,main,complete-torch-three-quarter,/images/products/25ak-intake/complete-torch-3m-main.jpg,White background with the complete torch and cable visible,Show torch front end handle cable and machine connector without changing geometry,,,,requested,,,Do not approve until the exact supplied torch model and cable length are verified.
25ak-img-complete-torch-5m-main,mig-series-25ak,25ak-candidate-complete-torch-5m,complete-torch,complete-torch-5m,ORK 25AK Complete Torch 5M,main,complete-torch-three-quarter,/images/products/25ak-intake/complete-torch-5m-main.jpg,White background with the complete torch and cable visible,Show torch front end handle cable and machine connector without changing geometry,,,,requested,,,Do not approve until the exact supplied torch model and cable length are verified.
25ak-img-nozzle-cylindrical-main,mig-series-25ak,25ak-candidate-nozzle-cylindrical,gas-nozzle,nozzle-cylindrical-18mm,Cylindrical Nozzle 18 mm,main,front-three-quarter,/images/products/25ak-intake/nozzle-cylindrical-18mm-main.jpg,White background with one exact cylindrical nozzle,Show opening profile full body and connection end in focus,,,,requested,,,One exact variant only.
25ak-img-nozzle-conical-main,mig-series-25ak,25ak-candidate-nozzle-conical,gas-nozzle,nozzle-conical-15mm,Conical Nozzle 15 mm,main,front-three-quarter,/images/products/25ak-intake/nozzle-conical-15mm-main.jpg,White background with one exact conical nozzle,Show opening profile full body and connection end in focus,,,,requested,,,One exact variant only.
25ak-img-nozzle-tapered-main,mig-series-25ak,25ak-candidate-nozzle-tapered,gas-nozzle,nozzle-tapered-11-5mm,Tapered Nozzle 11.5 mm,main,front-three-quarter,/images/products/25ak-intake/nozzle-tapered-11-5mm-main.jpg,White background with one exact tapered nozzle,Show opening profile full body and connection end in focus,,,,requested,,,One exact variant only.
25ak-img-tip-ecu-0-8-main,mig-series-25ak,25ak-candidate-tip-ecu-0-8,contact-tip,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-ecu-0-8mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
25ak-img-tip-ecu-0-9-main,mig-series-25ak,25ak-candidate-tip-ecu-0-9,contact-tip,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-ecu-0-9mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
25ak-img-tip-ecu-1-0-main,mig-series-25ak,25ak-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-ecu-1-0mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
25ak-img-tip-ecu-1-2-main,mig-series-25ak,25ak-candidate-tip-ecu-1-2,contact-tip,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-ecu-1-2mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
25ak-img-tip-cucrzr-0-8-main,mig-series-25ak,25ak-candidate-tip-cucrzr-0-8,contact-tip,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-cucrzr-0-8mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Material grade requires factory evidence.
25ak-img-tip-cucrzr-1-0-main,mig-series-25ak,25ak-candidate-tip-cucrzr-1-0,contact-tip,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-cucrzr-1-0mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Material grade requires factory evidence.
25ak-img-tip-cucrzr-1-2-main,mig-series-25ak,25ak-candidate-tip-cucrzr-1-2,contact-tip,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,main,front-three-quarter,/images/products/25ak-intake/contact-tip-cucrzr-1-2mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Material grade requires factory evidence.
25ak-img-tip-holder-main,mig-series-25ak,25ak-candidate-tip-holder,tip-holder,tip-holder,Contact Tip Holder,main,front-three-quarter,/images/products/25ak-intake/tip-holder-main.jpg,White background with one exact holder,Keep both connection ends and complete body visible,,,,requested,,,Confirm M8 and M6 interfaces before approval.
25ak-img-swan-neck-main,mig-series-25ak,25ak-candidate-swan-neck,swan-neck,swan-neck,Swan Neck,main,front-three-quarter,/images/products/25ak-intake/swan-neck-main.jpg,White background with the complete swan neck,Show front thread rear connection bend and insulation without cropping,,,,requested,,,Do not alter bend angle or connections.
25ak-img-cable-support-spring-main,mig-series-25ak,25ak-candidate-cable-support-spring,cable-support-spring,cable-support-spring,Cable Support Spring,main,front-three-quarter,/images/products/25ak-intake/cable-support-spring-main.jpg,White background with one exact spring,Show complete length both ends and attachment geometry,,,,requested,,,Confirm supplied assembly position.
25ak-img-rear-handle-main,mig-series-25ak,25ak-candidate-rear-handle,rear-handle,rear-handle,Rear Handle,main,front-three-quarter,/images/products/25ak-intake/rear-handle-main.jpg,White background with the complete rear handle,Show openings cable entry and connector side without cropping,,,,requested,,,Confirm whether supplied alone or as an assembly.
25ak-img-adaptor-nut-main,mig-series-25ak,25ak-candidate-adaptor-nut,adaptor-nut,adaptor-nut,Adaptor Nut,main,front-three-quarter,/images/products/25ak-intake/adaptor-nut-main.jpg,White background with one exact adaptor nut,Show thread opening profile and tool flats clearly,,,,requested,,,Thread must be measured or factory confirmed.
25ak-img-euro-connector-main,mig-series-25ak,25ak-candidate-euro-connector,euro-connector,euro-connector,Euro Connector,main,front-three-quarter,/images/products/25ak-intake/euro-connector-main.jpg,White background with the complete connector,Show pins gas passage cable interface and retaining features,,,,requested,,,Trade name alone does not confirm interface.
25ak-img-nut-m10x1-main,mig-series-25ak,25ak-candidate-nut-m10x1,connector-nut,nut-m10x1,Nut M10 x 1,main,front-three-quarter,/images/products/25ak-intake/nut-m10x1-main.jpg,White background with one exact nut,Show complete thread profile bore and external geometry,,,,requested,,,Confirm thread pitch and handedness.
25ak-img-liner-3-5m-main,mig-series-25ak,25ak-candidate-liner-3-5m,torch-liner,liner-3-5m,Torch Liner 3.5 m,main,complete-liner-layout,/images/products/25ak-intake/liner-3-5m-main.jpg,White background with liner arranged without tight coils,Show both ends construction color and full supplied length reference,,,,requested,,,Length and wire range require confirmation.
25ak-img-liner-5-5m-main,mig-series-25ak,25ak-candidate-liner-5-5m,torch-liner,liner-5-5m,Torch Liner 5.5 m,main,complete-liner-layout,/images/products/25ak-intake/liner-5-5m-main.jpg,White background with liner arranged without tight coils,Show both ends construction color and full supplied length reference,,,,requested,,,Length and wire range require confirmation.
25ak-img-complete-torch-front-detail,mig-series-25ak,25ak-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 25AK Complete Torch 3M,technical,front-end-stack,/images/products/25ak-intake/complete-torch-front-stack.jpg,Exploded removal-order view of the exact torch front end,Show nozzle holder contact tip and swan neck in assembly order,,,,requested,,,May support both cable lengths only after exact shared front-end confirmation.
25ak-img-complete-torch-rear-detail,mig-series-25ak,25ak-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 25AK Complete Torch 3M,technical,rear-connector-detail,/images/products/25ak-intake/complete-torch-rear-connector.jpg,Square detail view of the machine-side connector,Show pins gas passage liner entry nut and cable interfaces,,,,requested,,,Do not describe compatibility from the image alone.
25ak-img-nozzle-dimensions,mig-series-25ak,25ak-candidate-nozzle-cylindrical,gas-nozzle,nozzle-cylindrical-18mm,Cylindrical Nozzle 18 mm,dimension,dimension-reference,/images/products/25ak-intake/nozzle-dimensions.jpg,Exact nozzle beside calibrated references or a controlled drawing,Show opening outside diameter overall length and connection for each profile,,,,requested,,,Separate dimension evidence is required for each profile if values differ.
25ak-img-contact-tip-marking,mig-series-25ak,25ak-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,technical,marking-and-orifice,/images/products/25ak-intake/contact-tip-marking-orifice.jpg,Macro view square to the wire opening and genuine marking,Keep marking orifice and end face sharp without retouching geometry,,,,requested,,,A family photo cannot confirm all wire sizes or materials.
25ak-img-contact-tip-dimensions,mig-series-25ak,25ak-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,dimension,dimension-reference,/images/products/25ak-intake/contact-tip-dimensions.jpg,Exact tip beside calibrated references or a controlled drawing,Show thread body diameter overall length and wire opening,,,,requested,,,Evidence applies only to the photographed variant unless factory documentation proves shared geometry.
25ak-img-tip-holder-ends,mig-series-25ak,25ak-candidate-tip-holder,tip-holder,tip-holder,Contact Tip Holder,technical,connection-ends,/images/products/25ak-intake/tip-holder-connection-ends.jpg,Square macro views of both holder ends,Show M8 and M6 thread geometry gas openings and shoulders in focus,,,,requested,,,Confirm both mating interfaces and handedness.
25ak-img-swan-neck-connections,mig-series-25ak,25ak-candidate-swan-neck,swan-neck,swan-neck,Swan Neck,technical,connection-ends,/images/products/25ak-intake/swan-neck-connection-ends.jpg,Macro views of the front and rear connection ends,Show M8 thread mating shoulders and insulation termination clearly,,,,requested,,,Do not infer fit from outer shape.
25ak-img-liner-ends,mig-series-25ak,25ak-candidate-liner-3-5m,torch-liner,liner-3-5m,Torch Liner 3.5 m,technical,end-geometry,/images/products/25ak-intake/liner-end-geometry.jpg,Side-by-side macro views of both liner ends,Show tip geometry fittings and liner construction in focus,,,,requested,,,Confirm whether end geometry is shared across both lengths.
25ak-img-component-packaging,mig-series-25ak,25ak-candidate-tip-holder,tip-holder,tip-holder,Contact Tip Holder,packaging,standard-export-packing,/images/products/25ak-intake/25ak-component-packaging.jpg,Actual standard packing and visible product identification,Show quantity label protective method and carton arrangement without unsupported marks,,,,requested,,,Packaging evidence must identify which candidate variants it covers.
25ak-img-component-bulk,mig-series-25ak,25ak-candidate-tip-holder,tip-holder,tip-holder,Contact Tip Holder,bulk,batch-identification,/images/products/25ak-intake/25ak-component-bulk.jpg,Actual product batch laid out for inspection,Show consistent geometry and readable internal batch identification without customer information,,,,requested,,,Do not use as production-capacity evidence.
