candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
24kd-candidate-complete-torch-3m,mig-series-24kd,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 24KD Complete Torch 3M,Catalog lists a 3 m complete torch,Confirm exact supplied torch model and cable length; resolve rating duty-cycle and wire-size conflicts; provide specification or drawing,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not assign an ArcFort Weld SKU until the exact torch and conflict fields are resolved.
24kd-candidate-complete-torch-5m,mig-series-24kd,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 24KD Complete Torch 5M,Catalog lists a 5 m complete torch,Confirm exact supplied torch model and cable length; resolve rating duty-cycle and wire-size conflicts; provide specification or drawing,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not assign an ArcFort Weld SKU until the exact torch and conflict fields are resolved.
24kd-candidate-nozzle-cylindrical,mig-series-24kd,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-17mm,Cylindrical Nozzle 17 mm,Catalog shows cylindrical profile with 17 mm opening and a shared 20 x 63.5 mm diagram,Confirm opening outside diameter length connection and exact product geometry by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Shared diagram values must be checked against this exact profile.
24kd-candidate-nozzle-conical,mig-series-24kd,gas-nozzle,Gas Nozzle,1,nozzle-conical-12-5mm,Conical Nozzle 12.5 mm,Catalog shows conical profile with 12.5 mm opening and a shared 20 x 63.5 mm diagram,Confirm opening outside diameter length connection and exact product geometry by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Shared diagram values must be checked against this exact profile.
24kd-candidate-nozzle-tapered,mig-series-24kd,gas-nozzle,Gas Nozzle,1,nozzle-tapered-10mm,Tapered Nozzle 10 mm,Catalog shows tapered profile with 10 mm opening and a shared 20 x 63.5 mm diagram,Confirm opening outside diameter length connection and exact product geometry by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Shared diagram values must be checked against this exact profile.
24kd-candidate-tip-ecu-0-8,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,Catalog shows E-Cu M6 x 28 contact tip for 0.8 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-ecu-0-9,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,Catalog shows E-Cu M6 x 28 contact tip for 0.9 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-ecu-1-0,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,Catalog shows E-Cu M6 x 28 contact tip for 1.0 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-ecu-1-2,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,Catalog shows E-Cu M6 x 28 contact tip for 1.2 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-cucrzr-0-8,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,Catalog shows CuCrZr M6 x 28 contact tip for 0.8 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-cucrzr-1-0,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,Catalog shows CuCrZr M6 x 28 contact tip for 1.0 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-cucrzr-1-2,mig-series-24kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,Catalog shows CuCrZr M6 x 28 contact tip for 1.2 mm wire,Confirm alloy thread pitch body diameter overall length bore marking and exact supplied variant,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,No OEM number or compatibility may be inferred from appearance.
24kd-candidate-tip-holder,mig-series-24kd,tip-holder,Contact Tip Holder,3,tip-holder,Contact Tip Holder,Catalog diagram shows M6 at both ends and 26 mm overall length,Confirm both thread pitches seating geometry material and overall length by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer universal fit from the M6 labels.
24kd-candidate-diffuser-dmc,mig-series-24kd,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,Catalog lists DMC and shows a shared 20 mm length diagram,Confirm what DMC denotes plus material length holes and both connection details,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer material from the DMC label.
24kd-candidate-diffuser-ceramic,mig-series-24kd,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,Catalog lists Ceramic and shows a shared 20 mm length diagram,Confirm material length holes and both connection details by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Catalog wording alone does not confirm exact construction.
24kd-candidate-swan-neck,mig-series-24kd,swan-neck,Swan Neck,5,swan-neck,Swan Neck,Catalog diagram labels the front connection M6,Confirm front thread pitch bend geometry rear connection material and cooling construction,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer geometry or fit from the catalog family image.
24kd-candidate-cable-support-spring,mig-series-24kd,cable-support-spring,Cable Support Spring,6,cable-support-spring,Cable Support Spring,Catalog exploded assembly lists the cable support spring,Confirm dimensions material finish and mating assembly,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Catalog provides no exact dimensions.
24kd-candidate-rear-handle,mig-series-24kd,rear-handle,Rear Handle,7,rear-handle,Rear Handle,Catalog exploded assembly lists the rear handle,Confirm dimensions material connection and exact supplied assembly,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Catalog provides no exact dimensions.
