request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
24kd-img-complete-torch-3m-main,mig-series-24kd,24kd-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 24KD Complete Torch 3M,main,complete-torch-three-quarter,/images/products/24kd-intake/complete-torch-3m-main.jpg,White background with the complete torch and cable visible,Show torch front end handle cable and machine connector without changing geometry,,,,requested,,,Do not approve until the exact supplied torch model and cable length are verified.
24kd-img-complete-torch-5m-main,mig-series-24kd,24kd-candidate-complete-torch-5m,complete-torch,complete-torch-5m,ORK 24KD Complete Torch 5M,main,complete-torch-three-quarter,/images/products/24kd-intake/complete-torch-5m-main.jpg,White background with the complete torch and cable visible,Show torch front end handle cable and machine connector without changing geometry,,,,requested,,,Do not approve until the exact supplied torch model and cable length are verified.
24kd-img-nozzle-cylindrical-main,mig-series-24kd,24kd-candidate-nozzle-cylindrical,gas-nozzle,nozzle-cylindrical-17mm,Cylindrical Nozzle 17 mm,main,front-three-quarter,/images/products/24kd-intake/nozzle-cylindrical-17mm-main.jpg,White background with one exact cylindrical nozzle,Show opening profile full body and connection end in focus,,,,requested,,,One exact variant only.
24kd-img-nozzle-conical-main,mig-series-24kd,24kd-candidate-nozzle-conical,gas-nozzle,nozzle-conical-12-5mm,Conical Nozzle 12.5 mm,main,front-three-quarter,/images/products/24kd-intake/nozzle-conical-12-5mm-main.jpg,White background with one exact conical nozzle,Show opening profile full body and connection end in focus,,,,requested,,,One exact variant only.
24kd-img-nozzle-tapered-main,mig-series-24kd,24kd-candidate-nozzle-tapered,gas-nozzle,nozzle-tapered-10mm,Tapered Nozzle 10 mm,main,front-three-quarter,/images/products/24kd-intake/nozzle-tapered-10mm-main.jpg,White background with one exact tapered nozzle,Show opening profile full body and connection end in focus,,,,requested,,,One exact variant only.
24kd-img-tip-ecu-0-8-main,mig-series-24kd,24kd-candidate-tip-ecu-0-8,contact-tip,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,main,front-three-quarter,/images/products/24kd-intake/contact-tip-ecu-0-8mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
24kd-img-tip-ecu-0-9-main,mig-series-24kd,24kd-candidate-tip-ecu-0-9,contact-tip,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,main,front-three-quarter,/images/products/24kd-intake/contact-tip-ecu-0-9mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
24kd-img-tip-ecu-1-0-main,mig-series-24kd,24kd-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,main,front-three-quarter,/images/products/24kd-intake/contact-tip-ecu-1-0mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
24kd-img-tip-ecu-1-2-main,mig-series-24kd,24kd-candidate-tip-ecu-1-2,contact-tip,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,main,front-three-quarter,/images/products/24kd-intake/contact-tip-ecu-1-2mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Do not infer wire size or material from appearance.
24kd-img-tip-cucrzr-0-8-main,mig-series-24kd,24kd-candidate-tip-cucrzr-0-8,contact-tip,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,main,front-three-quarter,/images/products/24kd-intake/contact-tip-cucrzr-0-8mm-main.jpg,White background with one exact contact tip,Show complete body thread wire opening and genuine marking,,,,requested,,,Material grade requires factory evidence.
