candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
36kd-candidate-complete-torch-3m,mig-series-36kd,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 36KD Complete Torch 3M,Catalog lists a 3 m complete torch,Confirm exact supplied torch model and cable length; resolve rating conflict; provide factory specification or drawing,,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not assign an ArcFort Weld SKU until the exact torch and rating conflict are resolved.
36kd-candidate-complete-torch-5m,mig-series-36kd,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 36KD Complete Torch 5M,Catalog lists a 5 m complete torch,Confirm exact supplied torch model and cable length; resolve rating conflict; provide factory specification or drawing,,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not assign an ArcFort Weld SKU until the exact torch and rating conflict are resolved.
36kd-candidate-nozzle-cylindrical-19-20,mig-series-36kd,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-19-20mm,Cylindrical Nozzle 19/20 mm Reference Conflict,Catalog tables disagree between 19 mm and 20 mm opening; shared diagram shows 24 x 84 mm,"Confirm opening, outside diameter, length, connection and exact geometry by controlled drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Resolve the internal catalog conflict before SKU creation.
36kd-candidate-nozzle-conical-16,mig-series-36kd,gas-nozzle,Gas Nozzle,1,nozzle-conical-16mm,Conical Nozzle 16 mm,Catalog shows conical profile with 16 mm opening and a shared 24 x 84 mm diagram,"Confirm opening, outside diameter, length, connection and exact geometry by controlled drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Shared diagram values must be checked against this exact profile.
36kd-candidate-nozzle-tapered-12,mig-series-36kd,gas-nozzle,Gas Nozzle,1,nozzle-tapered-12mm,Tapered Nozzle 12 mm,Catalog shows tapered profile with 12 mm opening and a shared 24 x 84 mm diagram,"Confirm opening, outside diameter, length, connection and exact geometry by controlled drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Shared diagram values must be checked against this exact profile.
36kd-candidate-tip-ecu-0-8,mig-series-36kd,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,Catalog lists E-Cu M8 x 30 contact tip for 0.8 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size must be supported by factory evidence or a verified marking.
36kd-candidate-tip-ecu-1-0,mig-series-36kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.0 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size must be supported by factory evidence or a verified marking.
36kd-candidate-tip-ecu-1-2,mig-series-36kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.2 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size must be supported by factory evidence or a verified marking.
36kd-candidate-tip-cucrzr-0-8,mig-series-36kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,Catalog lists CuCrZr M8 x 30 contact tip for 0.8 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size must be supported by factory evidence or a verified marking.
36kd-candidate-tip-cucrzr-1-0,mig-series-36kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.0 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size must be supported by factory evidence or a verified marking.
36kd-candidate-tip-cucrzr-1-2,mig-series-36kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.2 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size must be supported by factory evidence or a verified marking.
36kd-candidate-tip-holder-25,mig-series-36kd,tip-holder,Contact Tip Holder,3,tip-holder-25mm,Contact Tip Holder M8 x 25 mm,Catalog lists M8 x 25 mm contact tip holder,"Confirm both thread interfaces, exact length, material and mating front-end stack by drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Each holder length is a separate candidate.
36kd-candidate-tip-holder-28,mig-series-36kd,tip-holder,Contact Tip Holder,3,tip-holder-28mm,Contact Tip Holder M8 x 28 mm,Catalog lists M8 x 28 mm contact tip holder,"Confirm both thread interfaces, exact length, material and mating front-end stack by drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Each holder length is a separate candidate.
36kd-candidate-tip-holder-34,mig-series-36kd,tip-holder,Contact Tip Holder,3,tip-holder-34mm,Contact Tip Holder M8 x 34 mm,Catalog lists M8 x 34 mm contact tip holder,"Confirm both thread interfaces, exact length, material and mating front-end stack by drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Each holder length is a separate candidate.
36kd-candidate-gas-diffuser-dmc,mig-series-36kd,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,Catalog lists DMC diffuser with a shared 31 mm diagram,"Confirm material/construction, length, interfaces, holes and exact mating front-end stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not infer the two diffuser variants share identical geometry.
36kd-candidate-gas-diffuser-ceramic,mig-series-36kd,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,Catalog lists Ceramic diffuser with a shared 31 mm diagram,"Confirm material/construction, length, interfaces, holes and exact mating front-end stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not infer the two diffuser variants share identical geometry.
